"ID","FieldID","2020","2022"
"1","LR-11A","Y",""
"2","LR-10","Y",""
"3","LR-12","Y",""
"4","Low7","Y",""
"5","LR-2","Y",""
"6","Low9","Y",""
"7","Fowl2","Y",""
"8","Low11","Y",""
"9","Main12","Y",""
"10","MN-7A","Y",""
"11","MN-2","Y",""
"12","ULL","Y",""
"13","Gilb","Y",""
"14","Frank4","Y",""
"15","Mid5","Y",""
"16","Main1","Y",""
"17","John6","Y",""
"18","See3","Y",""
"19","Up2","Y",""
"20","Fowl5","Y",""
"21","Main20","Y",""
"22","Evan4","Y",""
