"SampID","HabitatSampled"
"134","aquatic plants"
"134","runs"
"134","stream margins"
"134","leaf packs"
"134","pools"
"134","undercut overhanging"
"134","submerged wood"
"135","riffles"
"135","cobbles"
"135","aquatic plants"
"135","runs"
"135","stream margins"
"135","leaf packs"
"135","pools"
"135","undercut overhanging"
"135","submerged wood"
"136","riffles"
"136","cobbles"
"136","aquatic plants"
"136","stream margins"
"136","leaf packs"
"136","pools"
"136","undercut overhanging"
"136","submerged wood"
"137","riffles"
"137","cobbles"
"137","stream margins"
"137","submerged wood"
"137","other"
"138","riffles"
"138","cobbles"
"138","runs"
"138","stream margins"
"138","leaf packs"
"138","undercut overhanging"
"138","submerged wood"
"139","riffles"
"139","cobbles"
"139","aquatic plants"
"139","runs"
"139","stream margins"
"139","leaf packs"
"139","undercut overhanging"
"139","submerged wood"
"140","submerged wood"
"140","undercut overhanging"
"140","leaf packs"
"140","riffles"
"141","cobbles"
"141","runs"
"141","stream margins"
"141","leaf packs"
"142","submerged wood"
"142","leaf packs"
"142","riffles"
"142","pools"
"142","submerged wood"
"143","riffles"
"143","cobbles"
"143","aquatic plants"
"143","runs"
"143","stream margins"
"143","leaf packs"
"143","pools"
"143","undercut overhanging"
"143","submerged wood"
"144","riffles"
"144","cobbles"
"144","runs"
"144","stream margins"
"144","undercut overhanging"
"145","cobbles"
"145","aquatic plants"
"145","runs"
"145","stream margins"
"145","leaf packs"
"145","undercut overhanging"
"145","submerged wood"
"146","riffles"
"146","cobbles"
"146","leaf packs"
"146","stream margins"
"147","riffles"
"147","cobbles"
"147","aquatic plants"
"147","runs"
"147","stream margins"
"147","leaf packs"
"147","undercut overhanging"
"147","submerged wood"
"148","riffles"
"148","cobbles"
"148","aquatic plants"
"148","runs"
"148","stream margins"
"148","leaf packs"
"148","pools"
"148","undercut overhanging"
"148","submerged wood"
"149","cobbles"
"149","aquatic plants"
"149","stream margins"
"149","leaf packs"
"149","undercut overhanging"
"149","submerged wood"
"150","riffles"
"150","cobbles"
"150","aquatic plants"
"150","runs"
"150","stream margins"
"150","leaf packs"
"150","pools"
"150","undercut overhanging"
"150","submerged wood"
"151","riffles"
"151","cobbles"
"151","runs"
"151","leaf packs"
"152","riffles"
"152","cobbles"
"152","runs"
"152","leaf packs"
"153","riffles"
"153","cobbles"
"153","aquatic plants"
"153","runs"
"153","stream margins"
"153","leaf packs"
"153","pools"
"153","undercut overhanging"
"154","riffles"
"154","cobbles"
"154","aquatic plants"
"154","runs"
"154","stream margins"
"154","leaf packs"
"154","pools"
"154","undercut overhanging"
"154","submerged wood"
"154","other"
"155","cobbles"
"155","runs"
"155","leaf packs"
"155","pools"
"155","submerged wood"
"156","riffles"
"156","cobbles"
"156","runs"
"156","stream margins"
"156","leaf packs"
"156","undercut overhanging"
"156","submerged wood"
"157","riffles"
"157","cobbles"
"157","aquatic plants"
"157","runs"
"157","stream margins"
"157","leaf packs"
"157","pools"
"157","undercut overhanging"
"157","submerged wood"
"158","riffles"
"158","cobbles"
"158","aquatic plants"
"158","runs"
"158","stream margins"
"158","leaf packs"
"158","pools"
"158","undercut overhanging"
"158","submerged wood"
"158","other"
"159","riffles"
"159","cobbles"
"159","aquatic plants"
"159","runs"
"159","stream margins"
"159","leaf packs"
"159","pools"
"159","undercut overhanging"
"159","submerged wood"
"159","other"
"160","riffles"
"160","cobbles"
"160","runs"
"160","stream margins"
"160","leaf packs"
"160","pools"
"160","undercut overhanging"
"160","submerged wood"
"161","riffles"
"161","cobbles"
"161","aquatic plants"
"161","runs"
