"Grouplevel","0","1","2","3","4","5","6","7","8","9","10","11","12"
"Group1R","2","5","10","15","20","25","30","35","","","","",""
"Group1C","0","5.3","10.6","15.9","21.2","26.5","31.8","37.1","","","","",""
"Group2R","5","3","6","9","12","15","18","21","24","27","30","33","36"
"Group2C","5","3.2","6.4","9.6","12.8","16","19.2","22.4","25.6","28.8","35.2","38.4","41.6"
"Group3R","3","1.1","2.2","3.3","4.4","5.5","6.6","","","","","",""
"Group3C","1","1","2","3","4","5","6","","","","","",""
