FIELDID,Latitude,Longitude,STONEFLIES PRESENT?,ST23,ST22,ST21,ST20,ST19,ST18,ST17,ST16,ST15,ST14,ST13,ST12,ST10,ST08,ST07,ST06,ST05,ST04,ST03,ST02
UR-3,42.426303,-83.362972,N,,,,N,,,,,,,,,,,,,,,,
Wall1,42.44957,-83.46525,N,,,,,,,,,,,,,,,,,N,,,N
Wall2,42.46732,-83.46623,N,,,,,,,,,,,,,,,,,,N,N,N
Wall3,42.49486,-83.49575,N,N,,,,,,,,,,,,,,,,,,,N
Will1,42.33002,-83.46422,N,,,,N,,,,,,,,,,,,,N,N,,
John8,42.42148,-83.54396,Y,Y,,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,,,,,,,,
MR-23,42.432475,-83.520006,Y,Y,,,N,Y,Y,N,Y,N,N,Y,Y,,,,,,,,
MN-5,42.443614,-83.284906,N,,,,,N,N,N,N,,,,,,,,,,,,
Main8,42.29352,-83.14873,,,,,,,,,,,,,,,,,,,,,
LR-10,42.298506,-83.305839,N,,,,,,,,,N,N,N,N,,,,,,,,
LR-11,42.309888,-83.24854,,,,,,,,,,,,,,,,,,,,,
LR-5,42.300561,-83.4374797,N,,,,,,,,,N,,,,,,,,,,,
LR-6,42.285,-83.383888,N,,,,,,,,,,N,N,N,,,,,,,,
MR-22,42.43033,-83.544423,Y,Y,Y,Y,Y,Y,Y,Y,Y,,N,N,Y,,,,,,,,
UR-2,42.401803,-83.310759,,,,,,,,,,,,,,,,,,,,,
UR-4,42.400014,-83.286158,,,,,,,,,,,,,,,,,,,,,
LR-7,42.2484,-83.4248,,,,,,,,,,,,,,,,,,,,,
MN-4,42.3378683,-83.2496084,,,,,,,,,,,,,,,,,,,,,
Peb3,42.500849,-83.324474,,,,,,,,,,,,,,,,,,,,,
Bish2,42.47131,-83.45151,N,N,,,,,,,,,,,,,,,,,,,
MR-24,42.3640761,-83.4643914,,N,N,,,,,,,,,,,,,,,,,,
MR-12,42.33975,-83.34093,,,,,,,,,,,,,,,,,,,,,
MR-13,42.34432,-83.26865,,,,,,,,,,,,,,,,,,,,,
MR-15,42.3306,-83.2483,,,,,,,,,,,,,,,,,,,,,
Wall0,42.43673,-83.47369,,,,,,,,,,,,,,,,,,,,,
Main4.5,42.53718,-83.22861,,,,,,,,,,,,,,,,,,,,,
MN-2,42.399722,-83.271389,,,,,,,,,,,,,,,,,,,,,
MR-25,42.43058,-83.5135,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,
LR-12,42.282317,-83.466103,N,,,,,N,N,,N,N,,N,N,,,,,,,,
Main10,42.312949,-83.232347,,,,,,,,,,,,,,,,,,,,,
Fel5,42.335263,-83.539831,Y,N,N,N,Y,Y,N,Y,N,N,Y,,,,,,,,,,
Low3,42.3227,-83.565967,Y,,,,Y,,,,,,,,,,,,,,,,
Low4,42.2866039,-83.4756605,N,,N,N,,,,,,N,N,,,,,,,,,,
LR-1,42.280425,-83.42027,,,,,,,,,,,,,,,,,,,,,
Bell3,42.41015,-83.39285,N,N,,,,,,,,,,,,,,,,,,,
Min3,42.500565,-83.37127,,,,,,,,,,,,,,,,,,,,,
Fel6,42.328188,-83.532192,Y,Y,,Y,Y,Y,Y,Y,N,Y,Y,,,,,,,,,,
Low5,42.282389,-83.437141,,,,,,,,,,,,,,,,,,,,,
Wall4,42.43354,-83.48056,N,,,,,,,,,,N,,,,,,,,,,
MR-26,42.434306,-83.550725,Y,,,,Y,N,N,N,N,N,N,,,,,,,,,,
MR-27,42.41672,-83.531253,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,,,,,,,
Low8,42.285374,-83.388726,,,,,,,,,,,,,,,,,,,,,
Evan1,42.504517,-83.2333884,,,,,,,,,,,,,,,,,,,,,
Evan2,42.472955,-83.247905,N,,,,,,,,,N,,,,,,,,,,,
Min4,42.526938,-83.421444,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,
See4,42.516904,-83.436534,N,N,,,N,,,,,,,,,,,,,,,,
Evan3,42.459278,-83.268639,,,,,,,,,,,,,,,,,,,,,
Mur2,42.59375,-83.25174,,,,,,,,,,,,,,,,,,,,,
